English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
January	January				
Japan	Japan	This is Japan.	I'm hiding in Japan.	Burası Japonya.	Japonya'da gizleniyorum.
Japanese	japanese	I am Japanese.	You aren't Japanese.	Ben Japonum.	Sen Japon değilsin.
Japanese	japanese	I am Japanese.	You aren't Japanese.	Ben Japonum.	Sen Japon değilsin.
Javelin	javelin				
Jaw	Jaw	My jaw hurts.	He has a square jaw.	Çenem acıyor.	Onun bir kare çenesi vardır.
Jaw	Jaw	My jaw hurts.	He has a square jaw.	Çenem acıyor.	Onun bir kare çenesi vardır.
Jealous	jealous	I'm jealous.	Stop acting jealous.	Ben kıskancım.	Kıskanç davranmayı bırak.
Jealousy	jealousy				
Jeans	jean	I had jeans on.	Jean eats your soup.	Üzerimde kot pantolonum vardı.	Jean senin çorbanı içiyor.
Jeep	jeep	Get in the Jeep.	Get in the Jeep.	Jeep'e bin.	Jeep'e bin.
Jelly	Jelly	He likes jelly.	He likes jelly.	O jöleyi seviyor.	O jöleyi seviyor.
Jellyfish	jellyfish	It's a jellyfish.	Beware of jellyfish.	O bir denizanasıdır.	Denizanasına dikkat edin.
Jet	jet	I had jet lag.	I chartered a jet.	Jet lagim var.	Ben bir jet kiraladım.
Jetlag	Jetlag				
Jeweler	jeweler	Tom isn't a jeweler.	Tom isn't a jeweler.	Tom kuyumcu değil.	Tom kuyumcu değil.
Jewelry	jewelry				
Jewelry	jewelry				
Jewish	jewish	Am I Jewish?	I'm not that Jewish.	Musevi miyim?	Ben o kadar Yahudi değilim.
Job	job	Nice job!	I have several jobs.	Aferin!	Bir sürü işim var.
Joke	joke	I'm joking.	I said it as a joke.	Şaka yapıyorum.	Bunu bir şaka olarak söyledim.
Joke	joke	I'm joking.	I said it as a joke.	Şaka yapıyorum.	Bunu bir şaka olarak söyledim.
Jolted	jolt	The car gave a jolt.	The car gave a jolt.	Araba sarsıldı.	Araba sarsıldı.
Journalism	journalism				
Journalist	journalist	I'm a journalist.	She is a journalist.	Ben bir gazeteciyim.	O bir gazetecidir.
Joy	joy	I'm full of joy.	I could cry for joy.	Ben neşe doluyum.	Sevinçten ağlayabilirdim.
Judaism	judaism	What is Judaism?	What is Judaism?	Musevilik nedir?	Musevilik nedir?
Judge	Judge	Don't judge me.	I'm not judging you.	Beni yargılama.	Ben seni yargılamıyorum.
Juggling	juggling				
Juice	juice	I drank juice.	This is apple juice.	Meyve suyu içtim.	Bu elma suyu.
Jump	jump	Jump.	We jumped the fence.	Defol.	Biz çitten atladık.
Jump	jump	Jump.	We jumped the fence.	Defol.	Biz çitten atladık.
Jungle	jungle	What's a jungle?	What's a jungle?	Cengel nedir?	Cengel nedir?
Jurist	jurist				
Jury	jury	The jury is hung.	The jury is back.	Jüri karara varamadı.	Jüri geri döndü.
Justice	justice	He is justice.	Our goal is justice.	O adalettir.	Hedefimiz adalettir.
Kangaroo	kangaroo	I'm not a kangaroo.	I'm not a kangaroo.	Ben bir kanguru değilim.	Ben bir kanguru değilim.
Kebab	Kebab				
Keep	keep	Keep.	Layla kept the ring.	Tut.	Leyla yüzüğü tuttu.
Keep	keep	Keep.	Layla kept the ring.	Tut.	Leyla yüzüğü tuttu.
Kennel	kennel				
Kettle	kettle	Put the kettle on.	Put the kettle on.	Çaydanlığı açın.	Çaydanlığı açın.
Keyboard	keyboard	I need a keyboard.	I need a keyboard.	Bir klavyeye ihtiyacım var.	Bir klavyeye ihtiyacım var.
Keys	key	Use your key.	Give the key to Tom.	Anahtarını kullan.	Anahtarı Tom'a ver.
Kid	kid	I'm a kid.	The kids are sleepy.	Ben bir çocuğum.	Çocuklar uykulu.
Kidnap	kidnap	I was kidnapped.	I didn't kidnap Tom.	Kaçırıldım.	Tom'u kaçırmadım.
Kidney	kidney	I need a new kidney.	We have two kidneys.	Yeni bir böbreğe ihtiyacım var.	İki böbreğimiz vardır.
Kill	kill	Kill!	She killed the wolf.	Öldür!	Kurdu öldürdü.
Kilogram	Kilogram				
Kilometer	Kilometer				
Kind	kind	Be kind.	Tom is kind of late.	Nazik ol.	Tom biraz geç kaldı.
Kindness	kindness	I don't do kindness.	I don't do kindness.	Ben kibarlık yapmam.	Ben kibarlık yapmam.
King	king	Money is king.	He acts like a king.	Para kraldır.	Bir kral gibi davranıyor.
King	king	Money is king.	He acts like a king.	Para kraldır.	Bir kral gibi davranıyor.
Kiosk	Kiosk				
Kiss	kiss	Kiss it.	Tom kissed the frog.	Onu öp.	Tom kurbağayı öptü.
Kite	kite	He flew a kite.	Let's go fly a kite.	O bir uçurtma uçurdu.	Uçurtma uçurmaya gidelim.
Kite	kite	He flew a kite.	Let's go fly a kite.	O bir uçurtma uçurdu.	Uçurtma uçurmaya gidelim.
Kitten	Kitten	I love kittens.	Kittens are curious.	Yavru kedileri severim.	Yavru kediler meraklıdır.
Knee	knee	My knee hurts.	My knee still hurts.	Dizim acıyor.	Dizim hala ağrıyor.
Kneecap	Kneecap				
Knife	knife	I need a knife.	That isn't my knife.	Bana bir bıçak lazım.	O benim bıçağım değil.
Knife	knife	I need a knife.	That isn't my knife.	Bana bir bıçak lazım.	O benim bıçağım değil.
Knight	Knight	Tom's a knight.	Tom is a knight.	Tom bir şövalyedir.	Tom bir şövalyedir.
Know	know	I know.	If only I had known!	Biliyorum.	Keşke bilseydim!
Koala	Koala				
Koran	koran				
Ladder	ladder	I need a ladder.	He needs the ladder.	Bir merdivene ihtiyacım var.	Onun merdivene ihtiyacı var.
Ladle	ladle				
Lagoon	lagoon				
Lake	lake	The lake is big.	Go jump in the lake.	Göl büyük.	Git göle atla.
Lamb	Lamb	Lambs are very cute.	Lambs are very cute.	Kuzular çok şirindirler.	Kuzular çok şirindirler.
Lame	lame	That's lame.	Who's that lame boy?	Bu malca.	O topal çocuk kim?
Land	land	We just landed.	This land is Tom's.	Biz sadece indik.	Bu arazi Tom'undur.
Landing	land	We just landed.	This land is Tom's.	Biz sadece indik.	Bu arazi Tom'undur.
Landscape	landscape				
Landslide	landslide				
Language	language	I like languages.	Watch your language.	Dilleri severim.	Dilinizi kollayın.
Languages	language	I like languages.	Watch your language.	Dilleri severim.	Dilinizi kollayın.
Larva	Larva				
Laser	laser	Fire a laser at him.	Fire a laser at him.	Ona lazerle ateş et.	Ona lazerle ateş et.
Last	last	I'm last.	I met him last year.	Ben sonuncuyum.	Onunla geçen yıl tanıştım.
Late	late	Too late.	Mary is coming late.	Çok geç.	Mary geç geliyor.
Latecomer	latecomer				
Later	later	Later.	We'll do that later.	Sonra.	Bunu sonra yapacağız.
Laugh	Laugh	Laugh!	Laughing is healthy!	Gül!	Gülmek sağlıklıdır!
Launch	launch				
Launching	launch				
Laundry	laundry	Get the laundry.	Is my laundry ready?	Çamaşırları getirin.	Benim çamaşırım hazır mı?
Lava	lava	Lava is dangerous.	The floor is lava.	Lav tehlikelidir.	Yer lav.
Law	law	I'm the law.	New laws are needed.	Ben kanunum.	Yeni kanunlar gerekli değil.
Lawn	lawn	Mow the lawn.	Tom mowed the lawn.	Çimleri biç.	Tom çimleri biçti.
Lawn	lawn	Mow the lawn.	Tom mowed the lawn.	Çimleri biç.	Tom çimleri biçti.
Lawyer	lawyer	I'm a lawyer.	You're not a lawyer.	Ben avukatım.	Avukat değilsin.
Layoff	layoff				
Laziness	laziness	Forgive my laziness.	Forgive my laziness.	Tembelliğimi bağışla.	Tembelliğimi bağışla.
Lazy	lazy	I'm lazy.	They're lazy people.	Ben tembelim.	Onlar tembel insanlardır.
Lazy	lazy	I'm lazy.	They're lazy people.	Ben tembelim.	Onlar tembel insanlardır.
Lead	lead	Lead the way.	Sami led the prayer.	Yolu göster.	Namaza Sami imamlık yaptı.
Lead	lead	Lead the way.	Sami led the prayer.	Yolu göster.	Namaza Sami imamlık yaptı.
Lead	lead	Lead the way.	Sami led the prayer.	Yolu göster.	Namaza Sami imamlık yaptı.
Leaf	leaf	A leaf is falling.	What's on that leaf?	Bir yaprak düşüyor.	O yaprağın üzerindeki nedir?
League	league				
Leak	leak	It has a leak.	I've found the leak.	Onun bir sızıntısı vardı.	Sızıntıyı buldum.
Learn	learn	Learn!	I'm learning Kazakh.	Öğren!	Kazakça öğreniyorum.
Learning	learn	Learn!	I'm learning Kazakh.	Öğren!	Kazakça öğreniyorum.
Leather	leather	Is that leather?	These are leather.	Bu deri mi?	Bunlar deri.
Leech	leech				
Leek	leek				
Left	leave	Leave!	They have just left.	Defol buradan!	Az önce gittiler.
Left	leave	Leave!	They have just left.	Defol buradan!	Az önce gittiler.
Leg	leg	Break a leg.	What beautiful legs!	Başarılar!	Bacaklara bak be!
Leg	leg	Break a leg.	What beautiful legs!	Başarılar!	Bacaklara bak be!
Legal	legal	Is it legal?	Fireworks are legal.	Bu yasal mı?	Havai fişekler yasaldır.
Legend	legend	It's a legend.	It's a local legend.	O bir efsane.	O yerel bir efsane.
Legitimate	legitimate	That was legitimate.	That was legitimate.	O yasaldı.	O yasaldı.
Lemon	lemon	Peel the lemon.	The lemon is yellow.	Limonu soyun.	Limon sarıdır.
Lemonade	lemonade	I drank lemonade.	Tom drank lemonade.	Limonata içtim.	Tom limonata içti.
Lend	lend	I lend money.	I'll lend you a pen.	Ben para ödünç veriyorum.	Sana bir kalem ödünç vereceğim.
Length	length				
Lentils	lentil	I love lentil soup.	I love lentil soup.	Mercimek çorbasını severim.	Mercimek çorbasını severim.
Lentils	lentil	I love lentil soup.	I love lentil soup.	Mercimek çorbasını severim.	Mercimek çorbasını severim.
Less	less	5 is less than 8.	I ate less than Tom.	5, 8 den daha azdır.	Tom'dan daha az yedim.
Let	let	Let's go!	Let me finish, Ziri.	Gidelim!	Bitirmeme müsaade et, Ziri.
Let	let	Let's go!	Let me finish, Ziri.	Gidelim!	Bitirmeme müsaade et, Ziri.
Letter	letter	I read a letter.	I sent Tom a letter.	Bir mektup okuyorum.	Tom'a bir mektup yolladım.
Lettuce	Lettuce	I like lettuce.	You wash my lettuce.	Ben marulu severim.	Sen benim marulumu yıkarsın.
Leukemia	leukemia	Tom has leukemia.	Tom has leukemia.	Tom lösemi hastası.	Tom kan kanseri.
Lever	lever	Tom pulled a lever.	I pulled the lever.	Tom bir kolu çekti.	Kolu çektim.
Liana	Liana				
Liberal	liberal	I am a liberal.	Tom was too liberal.	Ben bir liberalim.	Tom çok liberaldi.
Liberalism	liberalism				
Liberation	liberation				
Library	library	At the library.	Where's the library?	Kütüphanede.	Kütüphane nerede?
Libya	libya				
Lie	lie	I lied.	Tom is bad at lying.	Yalan söyledim.	Tom yalan söylemeyi beceremez.
Lieutenant	lieutenant	He is a lieutenant.	Tom is a lieutenant.	O bir teğmendir.	Tom bir teğmen.
Life	life	To life!	Life is not perfect.	Hayata!	Hayat mükemmel değildir.
Light	light	I ate light.	I love winter light.	Hafif yedim.	Kış güneşini seviyorum.
Light	light	I ate light.	I love winter light.	Hafif yedim.	Kış güneşini seviyorum.
Light	light	I ate light.	I love winter light.	Hafif yedim.	Kış güneşini seviyorum.
Lighthouse	lighthouse				
Lightning	lightning	Lightning flashed.	Lightning flashed.	Şimşek çaktı.	Şimşek çaktı.
Likely	likely	Is that likely?	It's likely to rain.	Olası mı?	Muhtemelen yağmur yağacak.
Limestone	limestone				
Limits	limit	That's the limit.	There are no limits.	Bu sınırdır.	Limit yok.
Limpid	limpid				
Line	line	Get in line.	Tom is next in line.	Sıraya girin.	Sırada Tom var.
Line	line	Get in line.	Tom is next in line.	Sıraya girin.	Sırada Tom var.
Linguistics	linguistic				
Link	link	Send me the link.	Click on the link.	Bana bağlantıyı gönder.	Linke tıklayınız.
Lion	lion	I see a lion.	Tom is a lion tamer.	Bir aslan görüyorum.	Tom bir aslan eğiticisidir.
Lip	lip	I read lips.	Tom pursed his lips.	Dudak okurum.	Tom dudaklarını büzdü.
Lipstick	lipstick				
Liqueur	liqueur				
Liquid	liquid	Water is liquid.	Water is a liquid.	Su sıvıdır.	Su bir sıvıdır.
List	list	Make a list.	I don't have a list.	Bir liste yap.	Bir listem yok.
Liter	liter				
Literature	literature				
Little	little	A little more.	Tom is a little kid.	Biraz daha.	Tom sabi.
Liver	liver	Do you like liver?	Do you like liver?	Karaciğer sever misin?	Karaciğer sever misin?
Lizard	lizard	What's that lizard?	What's that lizard?	O kertenkele ne?	O kertenkele nedir?
Loan	loan	I need a loan.	I'll need a loan.	Bir krediye ihtiyacım var.	Borca ihtiyacım var.
Lobby	lobby	I'm in the lobby.	The lobby was empty.	Lobideyim.	Lobi boştu.
Lobster	lobster	I like lobster.	Tom likes lobster.	Istakozu severim.	Tom ıstakozu sever.
Local	local	Is Tom local?	It's a local legend.	Tom yerli mi?	O yerel bir efsane.
Lock	lock	Lock it.	Don't lock the door.	Onu kilitle.	Kapıyı kilitleme.
Lock	lock	Lock it.	Don't lock the door.	Onu kilitle.	Kapıyı kilitleme.
Locksmith	Locksmith	Tom is a locksmith.	Tom is a locksmith.	Tom çilingir.	Tom çilingirlik yapıyor.
Locomotive	locomotive				
Log	log	Log in.	I sat down on a log.	Giriş yap.	Bir tomruğa oturdum.
Logic	logic	Use logic.	Their logic was OK.	Mantığını kullan.	Onların mantığı iyiydi.
Logical	logical	Tom is logical.	That sounds logical.	Tom mantıklı.	O mantıklı görünüyor.
Logistics	logistic				
Loneliness	loneliness				
Long	long	So long.	Life is a long path.	Şimdilik hoşça kal.	Hayat uzun bir yoldur.
Long	long	So long.	Life is a long path.	Şimdilik hoşça kal.	Hayat uzun bir yoldur.
Long-sighted/Hypermetropic	long	So long.	Life is a long path.	Şimdilik hoşça kal.	Hayat uzun bir yoldur.
Longboat	longboat				
Longitude	longitude				
Lose	lose	I lost.	Don't lose patience.	Kayboldum.	Umudunu kaybetme.
Lose	lose	I lost.	Don't lose patience.	Kayboldum.	Umudunu kaybetme.
Loser	loser	I'm a loser.	Tom is a born loser.	Başarısızın tekiyim.	Tom yıkık bir tip.
Lottery	lottery	I won the lottery.	Tom won the lottery.	Ben piyango kazandım.	Tom lotaryayı kazandı.
Loudly	loudly	It rang loudly.	They cheered loudly.	O yüksek sesle çaldı.	Onlar yüksek sesle tezahürat yaptı.
Love	love	Love me!	Ziri loves his boss.	Beni sev!	Ziri patronunu seviyor.
Low	low	It's so low.	We need lower taxes.	Çok düşük.	Daha düşük vergilere ihtiyacımız var.
Lozenge	Lozenge				
Lucidity	lucidity				
Lucky	lucky	I'm lucky.	I know Tom is lucky.	Ben şanslıyım.	Tom'un şanslı olduğunu biliyorum.
Lucky	lucky	I'm lucky.	I know Tom is lucky.	Ben şanslıyım.	Tom'un şanslı olduğunu biliyorum.
Lukewarm	lukewarm				
Lull	lull				
Lullaby	lullaby	Tom sang a lullaby.	Tom sang a lullaby.	Tom bir ninni söyledi.	Tom bir ninni söyledi.
Lumbago	Lumbago				
Lunch	lunch	Lunch!	Thank you for lunch!	Öğle yemeği!	Öğle yemeği için teşekkür ederim.
Lung	lung	My lungs hurt.	Tom has lung cancer.	Ciğerlerim ağrıyor.	Tom'un akciğer kanseri var.
Luxurious	luxurious	Luxurious place!	Luxurious place!	Lüks bir yer!	Lüks bir yer!
Luxury	luxury	This is a luxury.	He lives in luxury.	Bu bir lüks.	O lüks içinde yaşıyor.
Lymph	lymph				
Macaque	Macaque				
Mach	mach				
Machete	machete				
Machine	machine	Tom is a machine.	Tom is a machine.	Tom bir makinedir.	Tom bir makinedir.
Mafia	mafia				
Maghreb	maghreb				
Magic	magic	It's magic.	It's a magic potion.	Bu sihirdir.	O sihirli bir iksir.
Magical	magical	It was magical.	It was magical.	Büyülüydü.	Büyülüydü.
Magician	Magician	I'm a magician.	I'm not a magician.	Ben bir sihirbazım.	Sihirbaz değilim.
Magma	magma				
Magnesium	magnesium				
Magnificent	magnificent	It's magnificent.	Tom was magnificent.	Hava çok güzel.	Tom muhteşemdi.
Mahogany	mahogany	Look, a mahogany!	Look, a mahogany!	Kızıl kahverengiye bak!	Kızıl kahverengiye bak!
Main	main				
Mainly	mainly				
Maintenance	maintenance				
Major	major	I majored in art.	I majored in French.	Ben sanatta ihtisas yaptım.	Ben Fransızcada uzmanlaştım.
Majority	majority				
Make-up	make	I made it.	We can make it work.	Bunu ben yaptım.	Çalışmasını sağlayabiliriz.
Maker	maker	Tom is a bell maker.	Tom is a bell maker.	Tom bir çan yapımcısıdır.	Tom bir çan yapımcısıdır.
Malaria	Malaria				
Mall	mall	I'm at the mall.	I drove to the mall.	Alışveriş merkezindeyim.	Alışveriş merkezine gittim.
Mall	mall	I'm at the mall.	I drove to the mall.	Alışveriş merkezindeyim.	Alışveriş merkezine gittim.
Mammal	Mammal	It's a mammal.	A whale is a mammal.	O bir memeli.	Balina bir memelidir.
Man	Man	Be a man.	Tom is a strong man.	Adam ol.	Tom güçlü bir adam.
Management	management	I'm with management.	I'm with management.	Yönetimle birlikteyim.	Yönetimle birlikteyim.
Manager	manager	I'm the manager.	I called my manager.	Ben müdürüm.	Müdürümü aradım.
Mandala	Mandala				
Mandarin	mandarin				
Mango	Mango	Bring mangos.	This mango is sweet.	Mango getir.	Bu mango tatlı.
Maniac	Maniac	Tom is a maniac.	She's not a maniac.	Tom bir manyak.	O bir manyak değil.
Manicure	manicure	Mary got a manicure.	Mary got a manicure.	Mary manikür yaptırdı.	Mary el tırnaklarına bakım yaptırdı.
Manipulation	manipulation				
Mankind	mankind	God created mankind.	God created mankind.	Allah insanı yarattı.	Allah insanı yarattı.
Manslaughter	manslaughter				
Manure	manure				
Manure	manure				
Map	Map	I need a map.	I looked at the map.	Bir haritaya ihtiyacım var.	Haritaya baktım.
Maracuja	Maracuja				
Marathon	marathon	Tom ran a marathon.	Tom ran a marathon.	Tom maratonda koştu.	Tom maratonda koştu.
Marble	marble				
Marbles	marble				
March	March	Today is March 5th.	Today's March 27th.	Bugün 5 Mart.	Bugün 27 Mart.
Mare	mare				
Margin	margin				
Market	market	It's market day.	It's a funny market.	Bu, alışveriş günüdür.	Çok komik bir market.
Market	market	It's market day.	It's a funny market.	Bu, alışveriş günüdür.	Çok komik bir market.
Marketing	marketing	I work in marketing.	I work in marketing.	Pazarlamada çalışıyorum.	Pazarlamada çalışıyorum.
Marmot	marmot				
Marriage	marriage	My marriage is over.	My marriage is over.	Evliliğim bitti.	Evliliğim bitti.
Married	marry	Marry me.	Tom can't marry you.	Evlen benimle.	Tom seninle evlenemez.
Married	marry	Marry me.	Tom can't marry you.	Evlen benimle.	Tom seninle evlenemez.
Marsh	marsh				
Marshy	marshy				
Marsupial	marsupial				
Marxist	marxist				
Mascara	Mascara	I need mascara.	I need mascara.	Bir maskaraya ihtiyacım var.	Bir maskaraya ihtiyacım var.
Masculine	masculine				
Mask	mask	I wore a mask.	Sami's mask slipped.	Bir maske taktım.	Sami'nin maskesi kaydı.
Mason	mason	Tom is a mason.	Mary is a mason.	Tom bir masondur.	Mary bir masondur.
Mass	mass	The mass is over.	It's mass hysteria.	Ayin bitti.	Bu kitlesel histeri.
Massacre	massacre	It was a massacre.	It was a massacre.	O bir katliamdı.	O bir katliamdı.
Massage	massage	I need a massage.	Do you want massage?	Benim bir masaja ihtiyacım var.	Masaj istiyor musun?
Masseur	masseur				
Mast	Mast				
Mast	Mast				
Master	master	Yes, master.	Observe the masters.	Evet, efendim.	Ustalara dikkat et.
Masterpiece	Masterpiece				
Matches	match	I lit a match.	It was a good match.	Ben bir kibrit yaktım.	O İyi bir başlangıçtı.
Mathematician	mathematician				
Mathematics	mathematic	I like mathematics.	I study mathematics.	Matematiği severim.	Ben matematik okuyorum.
Mattress	Mattress				
Mature	mature	I'm mature.	I'm a mature adult.	Ben olgunum.	Ben olgun bir yetişkinim.
Mauve	mauve				
Maximum	maximum	That's the maximum.	That's the maximum.	Bu maksimumdur.	Bu maksimumdur.
May	May	May I?	Tom may be Canadian.	Yapabilir miyim?	Tom Kanadalı olabilir.
Maybe	maybe	Maybe.	Maybe Tom is hungry.	Belki.	Belki Tom acıkmıştır.
Mayor	mayor	He was mayor.	I ran for the mayor.	O, belediye başkanıydı.	Belediye başkanı için koştum.
Meadow	meadow				
Measure	measure	I measured one.	Clocks measure time.	Birini ölçtüm.	Saatler zamanı ölçer.
Measure	measure	I measured one.	Clocks measure time.	Birini ölçtüm.	Saatler zamanı ölçer.
Meat	meat	Add meat.	The meat's gone bad.	Et ekle.	Et çürüdü.
Mechanic	mechanic	I'm a mechanic.	Tom is a mechanic.	Ben bir mekanikçiyim.	Tom bir araba tamircisi.
Mechanic	mechanic	I'm a mechanic.	Tom is a mechanic.	Ben bir mekanikçiyim.	Tom bir araba tamircisi.
Mechanically	mechanically				
Mechanically	mechanically				
Mechanics	mechanic	I'm a mechanic.	Tom is a mechanic.	Ben bir mekanikçiyim.	Tom bir araba tamircisi.
Medal	medal	Tom won a medal.	He deserves a medal.	Tom bir madalya kazandı.	O bir madalyayı hak eder.
Media-friendly	media				
Medicine	medicine	Take medicine.	Drink your medicine.	İlaç al.	İlacını iç.
Medicine	medicine	Take medicine.	Drink your medicine.	İlaç al.	İlacını iç.
Medieval	medieval				
Mediocre	mediocre	It's mediocre.	They were mediocre.	Bu, vasattır.	Vasattılar.
Meditate	meditate	I'm meditating.	I always meditate.	Ben meditasyon yapıyorum.	Ben her zaman düşünürüm.
Meditation	meditation				
Mediterranean	Mediterranean				
Meet	meet	I met him.	I met him last year.	Onunla karşılaştım.	Onunla geçen yıl tanıştım.
Meeting	meet	I met him.	I met him last year.	Onunla karşılaştım.	Onunla geçen yıl tanıştım.
Meeting	meet	I met him.	I met him last year.	Onunla karşılaştım.	Onunla geçen yıl tanıştım.
Melancholic	melancholic				
Melon	Melon	They are melons.	Who cut the melon?	Onlar kavun.	Kavunu kim kesti?
Melting	melt	Snow melts.	He melted her heart.	Kar erir.	O, kalbini yumuşattı.
Member	member	I'm a member.	Tom is not a member.	Ben bir üyeyim.	Tom bir üye değil.
Member	member	I'm a member.	Tom is not a member.	Ben bir üyeyim.	Tom bir üye değil.
Membership	membership				
Memorization	memorization				
Memory	memory	What memory!	She lost her memory.	Ne bellek!	Hafızasını yitirdi.
Memory	memory	What memory!	She lost her memory.	Ne bellek!	Hafızasını yitirdi.
Menopause	Menopause				
Mental	mental				
Mentality	mentality				
Menu	Menu	Let me see a menu.	What's today's menu?	Bir menü göreyim.	Bugünün menüsü ne?
Meow	meow	Meow.	"The cat says ""meow""."	Miyav.	Kedi miyav diyor.
Mercenary	mercenary	Tom was a mercenary.	Tom was a mercenary.	Tom paralı askerdi.	Tom paralı askerdi.
Merrily	merrily				
Mess	mess	What a mess!	This room is a mess.	Ne dağınıklık!	Bu oda bir karmaşa.
Message	message	Leave a message.	Sami messaged Layla.	Mesaj bırak.	Sami, Leyla'ya mesaj gönderdi.
Metal	metal	Lead is a metal.	The coins are metal.	Kurşun bir metaldir.	Bozuk paralar madenidir.
Metamorphosis	metamorphosis				
Metastasis	metastasis				
Meter	Meter	Read the meter.	I'm 1.9 meters tall.	Metreyi oku.	Ben 1.90 boyundayım.
Methane	methane				
Methodical	methodical	I'm methodical.	I'm very methodical.	Ben metotluyum.	Ben çok düzenliyim.
Metro	Metro				
Metronome	metronome				
Mexico	Mexico	She's from Mexico.	They visited Mexico.	O, Meksikalı.	Meksika'yı ziyaret ettiler.
Microscope	Microscope				
Microsecond	microsecond				
Microwave	microwave	Clean the microwave.	Clean the microwave.	Mikrodalgayı temizleyin.	Mikrodalgayı temizleyin.
Middle	middle	I'm middle class.	I'm middle class.	Orta sınıfım.	Orta sınıfım.
Midnight	midnight	It's midnight.	It's after midnight.	Vakit gece yarısı.	Bu, gece yarısından sonra.
Midwife	midwife	She's a midwife.	Mary is a midwife.	O bir ebe.	Mary bir ebe.
Migrant	migrant				
Migration	migration				
Migratory	migratory				
Mile	mile	I ran for a mile.	Tom ran three miles.	Bir mil koştum.	Tom üç mil koştu.
Militia	militia				
Mill	mill				
Millennium	millennium				
Millet	millet				
Millimeter	Millimeter				
Millipede	millipede				
Millisecond	Millisecond				
Minaret	minaret				
Mind	mind	Never mind.	What's on your mind?	Aldırma.	Kafandan ne geçiyor?
Mine	mine	Take mine.	This dog isn't mine.	Benimkini al.	Bu köpek benim değil.
Mine	mine	Take mine.	This dog isn't mine.	Benimkini al.	Bu köpek benim değil.
Mine	mine	Take mine.	This dog isn't mine.	Benimkini al.	Bu köpek benim değil.
Minefield	Minefield				
Miner	Miner	Tom is a miner.	Tom is a coal miner.	Tom madencidir.	Tom bir kömür madeni işçisi.
Mineral	mineral				
Minister	Minister	I'm a minister.	Tom is a minister.	Ben bir bakanım.	Tom bir bakandır.
Minority	minority				
Mint	Mint				
Minute	minute	Just a minute.	Let's stop a minute.	Bir dakika.	Bir dakika duralım.
Miracle	miracle	What a miracle!	Miracles do happen.	Ne mucize ama!	Mucizeler olur.
Mirror	mirror	Clean the mirror.	I like your mirrors.	Aynayı temizle.	Ben senin gözlüğünü seviyorum.
Misfortune	Misfortune				
Miss	miss	I miss it.	I'll miss the train.	Onu özlüyorum.	Treni kaçıracağım.
Missile	missile				
Missing	miss	I miss it.	I'll miss the train.	Onu özlüyorum.	Treni kaçıracağım.
Mission	mission	That's my mission.	Tom is on a mission.	Bu benim görevim.	Tom bir görevde.
Mist	mist	The sky misted over.	The sky misted over.	Gökyüzü sislendi.	Gökyüzü buğulandı.
Mistake	mistake	My mistake.	They made a mistake.	Benim hatam.	Bir hata yaptılar.
Mite	mite	What are mites?	What are mites?	Akarlar nedir?	Akarlar nedir?
Mix	mix	Mix him a drink.	He doesn't mix well.	Ona bir içki karıştırın.	O, iyi karıştırmaz.
Mixer	mixer				
Mixing	mix	Mix him a drink.	He doesn't mix well.	Ona bir içki karıştırın.	O, iyi karıştırmaz.
Mobilization	mobilization				
Model	Model	I'm a model.	I made model houses.	Ben bir mankenim.	Ev maketleri yaptım.
Model	Model	I'm a model.	I made model houses.	Ben bir mankenim.	Ev maketleri yaptım.
Modern	modern	He's a modern boy.	She's a modern girl.	O çağdaş bir oğlan.	O modern bir kızdır.
Modernity	modernity				
Modest	modest	Tom is modest.	My goals are modest.	Tom mütevazıdır.	Benim hedeflerim mütevazı.
Modesty	Modesty				
Molar	Molar				
Mold	mold				
Mold	mold				
Mole	mole				
Molecule	molecule				
Mollet	mollet				
Mollusc	Mollusc				
Monarchist	monarchist				
Monarchy	monarchy				
Monastery	Monastery				
Mongoose	mongoose				
Monk	Monk	I'm a monk.	The monk is praying.	Ben bir keşişim.	Keşiş dua ediyor.
Monkey	monkey	Tom is a monkey.	The monkey got away.	Tom bir maymundur.	Maymun uzaklaştı.
Monopoly	monopoly	It's a monopoly.	Monopolies are bad.	O bir tekeldir.	Tekeller kötüdür.
Monthly	monthly				
Monument	monument				
Moo	Moo	The cow moos.	The bull is mooing.	İnek möler.	Boğa böğürüyor.
Moon	moon	The moon is out.	The moon is shining.	Ay doğuyor.	Ay parlıyor.
Morale	morale				
Moratorium	moratorium				
More	more	More tea?	More time is needed.	Biraz daha çay ister misiniz?	Daha fazla zamana ihtiyaç var.
Moreover	moreover	Moreover, I can fly.	Moreover, I can fly.	Üstelik uçabiliyorum.	Üstelik uçabiliyorum.
Morgue	Morgue				
Morning	morning	Morning!	I jog every morning.	İyi sabahlar!	Ben her sabah hafif koşu yaparım.
Morning	morning	Morning!	I jog every morning.	İyi sabahlar!	Ben her sabah hafif koşu yaparım.
Morocco	Morocco	He lives in Morocco.	He lives in Morocco.	O, Fas'ta yaşıyor.	O, Fas'ta yaşıyor.
Mortar	mortar				
Mosque	mosque	This is a mosque.	We're in the mosque.	Bu bir camidir.	Camideyiz.
Mosquito	Mosquito	I hate mosquitoes.	I hate mosquitoes.	Sivrisineklerden nefret ediyorum.	Sivrisineklerden nefret ediyorum.
Moth	moth				
